year,avg_temp
1841,14.50
1842,15.06
1843,15.16
1844,14.98
1845,15.04
1846,15.51
1847,15.40
1848,14.71
1849,15.07
1850,15.16
1851,14.88
1852,15.06
1853,15.42
1854,15.58
1855,15.41
1856,15.10
1857,15.47
1858,15.13
1859,15.32
1860,14.70
1861,14.90
1862,14.14
1863,14.88
1864,14.52
1865,15.35
1866,15.21
1867,15.60
1868,15.52
1869,15.74
1870,15.59
1871,15.88
1872,15.73
1873,15.41
1874,15.36
1875,15.18
1876,15.28
1877,15.07
1878,15.11
1879,15.72
1880,14.88
1881,15.27
1882,15.16
1883,15.00
1884,14.55
1885,14.56
1886,14.70
1887,15.22
1888,15.44
1889,15.00
1890,15.77
1891,15.40
1892,15.09
1893,14.77
1894,15.75
1895,14.89
1896,15.34
1897,15.23
1898,15.93
1899,15.53
