year,avg_temp
1900,15.39
1901,14.98
1902,15.95
1903,15.21
1904,15.30
1905,14.98
1906,15.03
1907,15.26
1908,15.36
1909,15.48
1910,14.83
1911,15.02
1912,15.22
1913,15.05
1914,16.13
1915,15.63
1916,15.19
1917,14.85
1918,15.13
1919,15.60
1920,15.61
1921,15.19
1922,15.72
1923,15.58
1924,15.41
1925,15.43
1926,15.69
1927,15.93
1928,15.90
1929,15.55
1930,15.52
1931,15.19
1932,15.67
1933,15.43
1934,15.56
1935,16.04
1936,15.05
1937,15.70
1938,16.06
1939,15.79
1940,15.97
1941,16.12
1942,15.90
1943,15.70
1944,15.80
1945,15.71
1946,16.41
1947,15.71
1948,16.09
1949,16.16
1950,15.97
1951,15.86
1952,15.58
1953,16.67
1954,15.40
1955,15.68
1956,15.18
1957,15.18
1958,15.68
1959,16.10
1960,16.10
1961,16.69
1962,15.84
1963,15.86
1964,16.12
1965,15.73
1966,16.15
1967,15.74
1968,15.86
1969,15.21
1970,15.41
1971,15.77
1972,15.32
1973,15.94
1974,15.56
1975,16.02
1976,15.47
1977,15.71
1978,16.43
1979,16.20
1980,15.17
1981,15.53
1982,15.79
1983,15.87
1984,15.29
1985,15.58
1986,15.59
1987,15.83
1988,15.79
1989,15.83
1990,16.66
1991,15.71
1992,15.83
1993,15.58
1994,16.93
1995,16.07
1996,15.82
1997,16.41
1998,17.11
1999,16.33
